;(flair-tagged) sentence;;spaCy - flair;;stanza - flair;;stanza - spaCy
0;['\ufeff_SYM', 'Marley_PROPN', 'was_VERB', 'dead_ADJ', ',_PUNCT', 'to_PART', 'begin_VERB', 'with_ADP', '._PUNCT'];9;{'was_AUX', '\ufeffMarley_PROPN'};8;{'\ufeff_PROPN', 'was_AUX'};9;{'\ufeffMarley_PROPN'}
1;['There_PRON', 'is_VERB', 'no_DET', 'doubt_NOUN', 'whatever_PRON', 'about_ADP', 'that_DET', '._PUNCT'];8;{'is_AUX', 'whatever_DET'};8;{'that_PRON'};8;{'is_AUX', 'whatever_DET'}
2;['The_DET', 'register_NOUN', 'of_ADP', 'his_PRON', 'burial_NOUN', 'was_VERB', 'signed_VERB', 'by_ADP', 'the_DET', 'clergyman_NOUN', ',_PUNCT', 'the_DET', 'clerk_NOUN', ',_PUNCT', 'the_DET', 'undertaker_NOUN', ',_PUNCT', 'and_CCONJ', 'the_DET', 'chief_ADJ', 'mourner_NOUN', '._PUNCT'];22;{'was_AUX', 'his_DET'};22;{'was_AUX'};22;{'his_DET'}
3;['Scrooge_PROPN', 'signed_VERB', 'it_PRON', '._PUNCT'];4;;4;;4;
4;"['And_CCONJ', 'Scrooge_PROPN', ""'s_PART"", 'name_NOUN', 'was_VERB', 'good_ADJ', 'upon_ADP', ""'_PUNCT"", 'Change_NOUN', 'for_ADP', 'anything_NOUN', 'he_PRON', 'chose_VERB', 'to_PART', 'put_VERB', 'his_PRON', 'hand_NOUN', 'to_ADP', '._PUNCT']";19;{'upon_SCONJ', 'was_AUX', 'anything_PRON', 'his_DET'};19;{'was_AUX', 'anything_PRON'};19;{'upon_SCONJ', 'his_DET'}
5;['Old_ADJ', 'Marley_PROPN', 'was_VERB', 'as_ADV', 'dead_ADJ', 'as_ADP', 'a_DET', 'door-nail_NOUN', '._PUNCT'];9;{'as_SCONJ', 'Old_PROPN', 'nail_NOUN', '-_PUNCT', 'was_AUX', 'door_NOUN'};11;{'nail_NOUN', '-_PUNCT', 'was_AUX', 'door_NOUN'};11;{'Old_PROPN', 'as_SCONJ'}
6;['Mind_NOUN', '!_PUNCT'];2;;2;;2;
7;"['I_PRON', 'do_VERB', ""n't_ADV"", 'mean_VERB', 'to_PART', 'say_VERB', 'that_ADP', 'I_PRON', 'know_VERB', ',_PUNCT', 'of_ADP', 'my_PRON', 'own_ADJ', 'knowledge_NOUN', ',_PUNCT', 'what_PRON', 'there_PRON', 'is_VERB', 'particularly_ADV', 'dead_ADJ', 'about_ADP', 'a_DET', 'door-nail_NOUN', '._PUNCT']";24;"{'do_AUX', 'nail_NOUN', 'my_DET', '-_PUNCT', ""n't_PART"", 'door_NOUN', 'is_AUX', 'there_ADV', 'that_SCONJ'}";26;"{'do_AUX', 'nail_NOUN', '-_PUNCT', ""n't_PART"", 'door_NOUN', 'is_AUX', 'that_SCONJ'}";26;{'there_ADV', 'my_DET'}
8;['I_PRON', 'might_AUX', 'have_VERB', 'been_VERB', 'inclined_VERB', ',_PUNCT', 'myself_PRON', ',_PUNCT', 'to_PART', 'regard_VERB', 'a_DET', 'coffin-nail_NOUN', 'as_ADP', 'the_DET', 'deadest_ADJ', 'piece_NOUN', 'of_ADP', 'ironmongery_NOUN', 'in_ADP', 'the_DET', 'trade_NOUN', '._PUNCT'];22;{'as_SCONJ', 'nail_NOUN', '-_PUNCT', 'been_AUX', 'coffin_NOUN', 'have_AUX', 'might_VERB'};24;{'nail_NOUN', '-_PUNCT', 'been_AUX', 'inclined_ADJ', 'coffin_NOUN', 'have_AUX'};24;{'might_VERB', 'as_SCONJ'}
9;"['But_CCONJ', 'the_DET', 'wisdom_NOUN', 'of_ADP', 'our_PRON', 'ancestors_NOUN', 'is_VERB', 'in_ADP', 'the_DET', 'simile_NOUN', ';_PUNCT', 'and_CCONJ', 'my_PRON', 'unhallowed_ADJ', 'hands_NOUN', 'shall_AUX', 'not_ADV', 'disturb_VERB', 'it_PRON', ',_PUNCT', 'or_CCONJ', 'the_DET', 'Country_PROPN', ""'s_VERB"", 'done_VERB', 'for_ADP', '._PUNCT']";27;"{'not_PART', 'my_DET', ""'s_PART"", 'is_AUX', 'our_DET', 'shall_VERB'}";27;"{'Country_NOUN', 'not_PART', ""'s_AUX"", 'is_AUX'}";27;"{'shall_VERB', 'my_DET', ""'s_PART"", 'our_DET'}"
